# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	0.8866902	0.0062434888	2.0167146e-11	0.039994042	0.00069809286	0
0	0.8847563	0.0061203665	6.484297e-11	0.038993895	0.0006806425	0
0	0.8827769	0.005995897	-1.3192673e-10	0.03799433	0.00066319114	0
0	0.8807508	0.0058701187	-1.1231979e-10	0.03699422	0.0006457404	0
0	0.87867665	0.0057430738	8.683076e-12	0.03599453	0.00062828907	0
0	0.876553	0.0056147585	4.1174588e-11	0.034994822	0.00061083195	0
0	0.8743783	0.005485129	-7.058501e-11	0.033994727	0.00059338	0
0	0.8721513	0.005354241	-4.761687e-12	0.032995008	0.0005759299	0
0	0.86986995	0.005222055	-4.8877315e-11	0.031995054	0.0005584796	0
0	0.86753297	0.005088607	-6.162183e-11	0.03099535	0.0005410271	0
0	0.86513853	0.0049538636	3.4452205e-11	0.02999528	0.00052357075	0
0	0.86268485	0.004817862	-7.058501e-11	0.028995529	0.00050611823	0
0	0.86017007	0.004680569	6.0221335e-11	0.027995791	0.00048866845	0
0	0.8575923	0.004542003	1.0587751e-10	0.02699575	0.00047121564	0
0	0.85494953	0.0044021653	-8.430987e-11	0.025996134	0.0004537603	0
0	0.8522396	0.0042610215	2.1567642e-11	0.024996163	0.00043631005	0
0	0.84946054	0.0041186255	8.262927e-11	0.02399635	0.00041885703	0
0	0.8466098	0.0039749052	-4.089449e-11	0.022996513	0.00040140637	0
0	0.84368515	0.0038298855	-1.1652128e-10	0.021996586	0.00038395333	0
0	0.8406842	0.0036835368	1.01956124e-10	0.02099671	0.0003665001	0
0	0.83760417	0.003535839	-2.3248237e-11	0.019997021	0.00034904643	0
0	0.83444226	0.003386763	-1.0363672e-11	0.018997164	0.00033159557	0
0	0.8311959	0.0032362551	-7.56268e-12	0.017997265	0.00031414456	0
0	0.8278617	0.00308428	-1.1736158e-10	0.016997363	0.00029668998	0
0	0.82443666	0.0029307771	-4.6496473e-11	0.015997527	0.0002792398	0
0	0.8209175	0.0027756428	7.22656e-11	0.01499764	0.00026178538	0
0	0.8173005	0.0026187983	-1.04196915e-10	0.013997896	0.00024433422	0
0	0.81358206	0.0024601028	-5.5459647e-11	0.012998067	0.00022688015	0
0	0.80975807	0.0022996003	-4.2014885e-11	0.011998177	0.00020942852	0
0	0.80582404	0.0021364193	2.7449725e-11	0.010998293	0.00019197667	0
0	0.8017759	0.001971217	1.3164664e-11	0.009998511	0.00017452321	0
0	0.7976083	0.001802925	-6.722382e-11	0.008998632	0.00015707228	0
0	0.7933161	0.0016310732	-2.2407938e-11	0.007998764	0.0001396199	0
0	0.7888939	0.0014555787	-6.834421e-11	0.006998948	0.00012216711	0
0	0.78433514	0.0012753912	4.061439e-11	0.0059990883	0.00010471426	0
0	0.7796334	0.0010895414	1.6805954e-11	0.0049992553	8.726161e-05	0
0	0.7747812	0.00089653645	4.4815877e-11	0.003999382	6.980995e-05	0
0	0.76977056	0.0006944821	-1.4691205e-10	0.0029995441	5.235713e-05	0
0	0.76459247	0.0004806367	-1.0083572e-10	0.001999691	3.4904973e-05	0
0	0.7592368	0.00025111125	1.831849e-10	0.0009998454	1.7452487e-05	0
0	0.753692	6.939089e-07	-1.7898341e-10	-2.775134e-17	-4.844e-19	0
0	0.7479449	-0.00027764527	1.2604465e-11	-0.0009998454	-1.7452487e-05	0
0	0.74197984	-0.0005928671	6.7784015e-11	-0.001999691	-3.4904973e-05	0
0	0.7357784	-0.0009564586	-1.00275524e-10	-0.0029995441	-5.2357125e-05	0
0	0.72931814	-0.0013879008	-9.691434e-11	-0.003999382	-6.980995e-05	0
0	0.7225699	-0.0019278461	8.122878e-12	-0.0049992553	-8.726161e-05	0
0	0.7154913	-0.0026558242	-1.5685557e-11	-0.0059990883	-0.00010471426	0
0	0.7080241	-0.0034535734	1.3080634e-10	-0.006998948	-0.00012216711	0
0	0.6999441	-0.004959201	1.01956124e-10	-0.007998764	-0.0001396199	0
0	0.6913851	-0.006130332	8.473002e-11	-0.008998632	-0.00015707227	0
0	0.68215346	-0.0075641046	2.9690517e-11	-0.009998511	-0.00017452321	0
0	0.6716612	-0.011043741	-9.887503e-11	-0.010998293	-0.00019197667	0
0	0.6497985	-0.016512925	1.6077696e-10	-0.011998177	-0.0002094285	0
0	0.6151902	-0.016465953	-7.3946196e-11	-0.012998067	-0.00022688015	0
0	0.59832627	-0.016745893	-2.240794e-12	-0.013997896	-0.00024433422	0
0	0.57790583	-0.015811032	-8.893151e-11	-0.01499764	-0.00026178538	0
0	0.42708808	0.099300124	1.7694989e-08	-0.015997527	-0.0002792398	0
0	0.4088757	0.098529145	1.0761413e-08	-0.016997363	-0.00029669	0
0	0.12295377	0.12096972	-5.5482684e-05	-0.017997265	-0.00031414453	0
0	0.014257299	0.12150128	-5.5616194e-05	-0.018997164	-0.00033159557	0
0	-0.04311805	0.1733329	-5.6041044e-05	-0.019997021	-0.00034904643	0
0	-0.124708146	0.09159816	-5.6321674e-05	-0.02099671	-0.0003665001	0
0	-0.24483068	-0.020743072	-5.9794613e-05	-0.021996586	-0.00038395333	0
0	-0.42197174	0.0132571645	5.368693e-05	-0.02299651	-0.00040140637	0
0	-0.76353663	-0.05095789	-5.378232e-05	-0.023996353	-0.00041885703	0
0	-0.76806194	-0.050339565	-5.384723e-05	-0.024996163	-0.00043631005	0
